	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
1													17,18																			
2													17,18													18,22						
3										16,24																						
4																		12,22											22,32			
5																		12,22											22,32			
6																		12,22											22,32			
7																		12,22											22,32			
8					5,12													12,22										32,41	22,32			
9					5,12													12,22										32,41	22,32			
10					5,12													12,22										32,41	22,32	41,51		
11					5,12													12,22										32,41	22,32	41,51		
12			3,11															12,22										32,41	22,32	41,51		
13			3,11															12,22										32,41	22,32	41,51		
14																11,18																
15														32,36							23,32											
16														32,36							23,32											
17														32,36							23,32											
18																					23,32			34,37								
19																					23,32			34,37							38,44	
20														32,36		11,18					23,32											
21									10,12			13,18		32,36							23,32											
22						21,22														24,34							34,41					
23						21,22														24,34							34,41					
24						21,22	8,16															23,29										
25		4,7					8,16										16,22					23,29										
26		4,7					8,16										16,22					23,29										
27		4,7					8,16										16,22					23,29										
28		4,7				21,22	8,16															23,29										
29		4,7				21,22	8,16															23,29										
30		4,7				21,22	8,16															23,29										
31		4,7				21,22	8,16															23,29										
32						21,22	8,16													24,34							34,41					
33				0,5																												
34				0,5																												
35																							25,30									
36																							25,30									
37																							25,30									
38																							25,30									
39																							25,30									
40																							25,30									
41																							25,30		23,25							
42																							25,30		23,25							
43																							25,30		23,25							
44																							25,30		23,25							
45				0,5				7,17			23,33				17,18				18,22													
46				0,5				7,17			23,33								18,22													
47				0,5				7,17			23,33								18,22													
48				0,5				7,17			23,33								18,22													
49				0,5				7,17			23,33								18,22													
50				0,5				7,17			23,33								18,22													
51				0,5				7,17			23,33																					
