	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
1																													40,43			
2																													40,43			
3																													40,43			
4																													40,43			
5					10,15			18,19	19,20					15,16																		
6								18,19	19,20	4,11				15,16													11,15					
7								18,19	19,20	4,11				15,16													11,15					
8								18,19	19,20	4,11				15,16													11,15					
9								18,19	19,20	4,11				15,16													11,15					
10								18,19	19,20	4,11				15,16													11,15					
11									19,20	4,11				15,16													11,15					
12									19,20	4,11			20,26	15,16													11,15					
13									19,20	4,11			20,26																			
14									19,20	4,11			20,26																40,43			
15												17,24																				
16												17,24																				
17																								19,25							25,33	
18		5,11										17,24																				
19							9,19										32,36			25,27				19,25				28,32				
20							9,19										32,36			25,27				19,25				28,32				
21							9,19										32,36			25,27				19,25				28,32				
22			0,4			4,14						17,24									24,29											
23		5,11										17,24					32,36											28,32				
24		5,11										17,24					32,36											28,32				
25						4,14						17,24					32,36											28,32				
26			0,4			4,14											32,36		14,24		24,29											
27			0,4			4,14											32,36		14,24		24,29											
28																		13,19														
29																		13,19														
30																														33,43		
31																						29,33								33,43		
32																						29,33								33,43		
33																						29,33								33,43		
34				0,9														13,19														
35				0,9														13,19														
36				0,9														13,19				29,33	21,28							33,43		
37				0,9														13,19				29,33	21,28							33,43		
38				0,9														13,19				29,33								33,43		
39				0,9														13,19				29,33								33,43		
40				0,9														13,19				29,33								33,43		
41																									36,40							
42																									36,40							
43																16,25																
44															11,21																	
45															11,21																	
46															11,21																	
47																16,25									36,40	25,35						
48											34,36					16,25									36,40							
49											34,36					16,25									36,40							
50																16,25									36,40	25,35						
51																16,25									36,40	25,35						
52																16,25									36,40	25,35						
