	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
1						14,16									16,23												23,28					
2						14,16									16,23												23,28					
3						14,16									16,23												23,28					
4						14,16									16,23												23,28					
5						14,16									16,23												23,28					
6								8,17																			23,28					
7						14,16									16,23											27,35						
8						14,16									16,23											27,35						
9						14,16																				27,35						
10																													28,37	37,38		
11			2,8							8,9						24,29																
12			2,8							8,9						24,29																
13			2,8							8,9						24,29									34,36							
14			2,8							8,9						24,29									34,36							
15			2,8							8,9						24,29									34,36							
16			2,8							8,9																			28,37	37,38		
17			2,8																	8,10									28,37	37,38		
18			2,8																	8,10									28,37	37,38		
19			2,8																										28,37	37,38		
20			2,8																										28,37	37,38		
21		0,5																														
22														9,17																		
23														9,17																		
24														9,17																		
25														9,17																		
26														9,17																		
27																						27,37										
28		0,5					5,9				17,23			9,17																		
29		0,5					5,9				17,23			9,17																		
30		0,5					5,9				17,23			9,17							23,27	27,37										
31		0,5					5,9				17,23			9,17								27,37										
32																		26,29										29,37				
33																		26,29										29,37				
34									23,24			16,23	24,27										28,33									
35									23,24				24,27				14,23						28,33									
36																		26,29	18,22					22,26				29,37				
37																		26,29	18,22					22,26				29,37				
38																		26,29	18,22					22,26				29,37				
39									23,24									26,29	18,22									29,37				
40									23,24			16,23	24,27															29,37			37,38	
41									23,24			16,23	24,27															29,37			37,38	
42									23,24			16,23						26,29										29,37			37,38	
43					8,16				23,24			16,23	24,27										28,33									
44					8,16				23,24			16,23	24,27										28,33									
45					8,16				23,24			16,23	24,27										28,33									
46				6,8	8,16				23,24			16,23	24,27										28,33									
47				6,8	8,16							16,23	24,27										28,33									
