	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
1								14,16																								
2								14,16																								
3								14,16																								
4								14,16																								
5								14,16																								
6								14,16																								
7				29,38												26,29																
8				29,38									23,26			26,29																
9				29,38				14,16					23,26	16,20		26,29	38,42															
10				29,38				14,16					23,26	16,20		26,29	38,42															
11				29,38				14,16					23,26	16,20		26,29	38,42															
12		0,3	8,10	29,38				14,16					23,26	16,20		26,29	38,42															
13		0,3	8,10	29,38			14,16						23,26			26,29	38,42													42,51		
14		0,3	8,10	29,38			14,16						23,26	16,20		26,29	38,42													42,51		
15																															50,51	
16												15,20																				
17												15,20																				
18												15,20																				
19																									34,40							
20																									34,40							
21												15,20								20,23												
22												15,20								20,23			24,32		34,40						50,51	
23												15,20								20,23			24,32		34,40						50,51	
24												15,20								20,23			24,32		34,40						50,51	
25												15,20								20,23			24,32		34,40						50,51	
26												15,20								20,23			24,32		34,40						50,51	
27																												49,50				
28																		32,35														
29																						23,33										
30																						23,33										
31																			13,23			23,33										
32																			13,23			23,33										
33																			13,23			23,33										
34																			13,23			23,33										
35															23,31			32,35	13,23													
36															23,31			32,35	13,23													
37															23,31			32,35	13,23													
38									16,26	26,31	13,15																	49,50	31,40			
39															23,31				13,23									49,50	31,40			
40															23,31			32,35	13,23							39,49		49,50				
41															23,31			32,35	13,23									49,50				
42					10,13				16,26	26,31	13,15																	49,50	31,40			
43					10,13				16,26	26,31	13,15																	49,50	31,40			
44					10,13				16,26		13,15																	49,50	31,40			
45																								42,50			33,42					
46																								42,50			33,42					
47																								42,50			33,42					
48																								42,50			33,42					
49						3,13															31,39											
50						3,13															31,39											
51						3,13															31,39											
52						3,13															31,39			42,50								
53						3,13															31,39			42,50								
54						3,13																		42,50			33,42					
